WinCC OA Recipe	CeliTunel	2016.10.28 15:59:29.219				Name:	RadoviLevaCev-DesnaTraka
Description:						Description:	
No.	Datapoint element	Description	Type	Unit	Min.	Max.	Set point
97	SysSarani:VMS5-1-L6.command.izbor_znaka	VMS5-1-L6.command.izbor_znaka	dyn_int		0	0	74
98	SysSarani:VMS5-2-L6.command.izbor_znaka	VMS5-2-L6.command.izbor_znaka	dyn_int		0	0	74
99	SysSarani:VMS6-L6.command.izbor_znaka	VMS6-L6.command.izbor_znaka	dyn_int		0	0	69
100	SysSarani:VMS7-L6.command.izbor_znaka	VMS7-L6.command.izbor_znaka	dyn_int		0	0	69
101	SysSarani:VMS1-1-L3.command.izbor_znaka	VMS1-1-L3.command.izbor_znaka	dyn_int		0	0	10
102	SysSarani:VMS1-2-L3.command.izbor_znaka	VMS1-2-L3.command.izbor_znaka	dyn_int		0	0	27
103	SysSarani:VMS2-L3.command.izbor_znaka	VMS2-L3.command.izbor_znaka	dyn_int		0	0	70
104	SysSarani:VMS3-L3.command.izbor_znaka	VMS3-L3.command.izbor_znaka	dyn_int		0	0	69
105	SysSarani:VMS4-1-L3.command.izbor_znaka	VMS4-1-L3.command.izbor_znaka	dyn_int		0	0	10
106	SysSarani:VMS4-2-L3.command.izbor_znaka	VMS4-2-L3.command.izbor_znaka	dyn_int		0	0	27
107	SysSarani:VMS5-1-L3.command.izbor_znaka	VMS5-1-L3.command.izbor_znaka	dyn_int		0	0	74
108	SysSarani:VMS5-2-L3.command.izbor_znaka	VMS5-2-L3.command.izbor_znaka	dyn_int		0	0	74
109	SysSarani:VMS6-L3.command.izbor_znaka	VMS6-L3.command.izbor_znaka	dyn_int		0	0	69
110	SysSarani:VMS7-L3.command.izbor_znaka	VMS7-L3.command.izbor_znaka	dyn_int		0	0	69
111	SysSarani:VMS1-1-L1.command.izbor_znaka	VMS1-1-L1.command.izbor_znaka	dyn_int		0	0	22
112	SysSarani:VMS1-2-L1.command.izbor_znaka	VMS1-2-L1.command.izbor_znaka	dyn_int		0	0	27
113	SysSarani:VMS2-L1.command.izbor_znaka	VMS2-L1.command.izbor_znaka	dyn_int		0	0	70
114	SysSarani:VMS3-L1.command.izbor_znaka	VMS3-L1.command.izbor_znaka	dyn_int		0	0	69
115	SysSarani:VMS4-1-L1.command.izbor_znaka	VMS4-1-L1.command.izbor_znaka	dyn_int		0	0	22
116	SysSarani:VMS4-2-L1.command.izbor_znaka	VMS4-2-L1.command.izbor_znaka	dyn_int		0	0	27
117	SysSarani:VMS5-1-L1.command.izbor_znaka	VMS5-1-L1.command.izbor_znaka	dyn_int		0	0	74
118	SysSarani:VMS5-2-L1.command.izbor_znaka	VMS5-2-L1.command.izbor_znaka	dyn_int		0	0	74
119	SysSarani:VMS6-L1.command.izbor_znaka	VMS6-L1.command.izbor_znaka	dyn_int		0	0	69
120	SysSarani:VMS7-L1.command.izbor_znaka	VMS7-L1.command.izbor_znaka	dyn_int		0	0	69
