# ascii dump of database

# Aliases/Comments
AliasId	AliasName	CommentName
OA-D.A1.state.bit.b3	""	lt:2 LANG:10024 "Status-VMS1.D" LANG:10027 "Status-VMS1.D" 
OA-D.A1.state.bit.b4	""	lt:2 LANG:10024 "Status-VMS2.D" LANG:10027 "Status-VMS2.D" 
OA-D.A1.state.bit.b5	""	lt:2 LANG:10024 "Status-VMS3.D" LANG:10027 "Status-VMS3.D" 
OA-D.A1.state.bit.b6	""	lt:2 LANG:10024 "Status-VMS4.D i status-VMS5.D" LANG:10027 "Status-VMS4.D i status-VMS5.D" 
OA-D.A1.state.bit.b7	""	lt:2 LANG:10024 "Status-MS1.D" LANG:10027 "Status-MS1.D" 
OA-D.A2.state.bit.b0	""	lt:2 LANG:10024 "Rezerva" LANG:10027 "Rezerva" 
OA-D.A2.state.bit.b1	""	lt:2 LANG:10024 "Rezerva" LANG:10027 "Rezerva" 
OA-D.A2.state.bit.b2	""	lt:2 LANG:10024 "Status osigurac rasvjete" LANG:10027 "Status osigurac rasvjete" 
OA-D.A2.state.bit.b3	""	lt:2 LANG:10024 "Status-vrata I/O modul" LANG:10027 "Status-vrata I/O modul" 
OA-D.A2.state.bit.b4	""	lt:2 LANG:10024 "Rezerva" LANG:10027 "Rezerva" 
OA-D.A2.state.bit.b5	""	lt:2 LANG:10024 "Rezerva" LANG:10027 "Rezerva" 
OA-D.A2.state.bit.b6	""	lt:2 LANG:10024 "Rezerva" LANG:10027 "Rezerva" 
OA-D.A2.state.bit.b7	""	lt:2 LANG:10024 "Rezerva" LANG:10027 "Rezerva" 
OA-D.A3.cmd.bit.b0	""	lt:2 LANG:10024 "Treptac D@@" LANG:10027 "Treptac D@@" 
OA-D.A3.cmd.bit.b1	""	lt:2 LANG:10024 "Rezerva@@" LANG:10027 "Rezerva@@" 
OA-D.A3.cmd.bit.b2	""	lt:2 LANG:10024 "Rezerva" LANG:10027 "Rezerva" 
OA-D.A3.cmd.bit.b3	""	lt:2 LANG:10024 "Rezerva" LANG:10027 "Rezerva" 
OA-SOS-D1.A1.value.AI0	""	lt:2 LANG:10024 "lt:2 LANG:10024 \"Senzor vibracija V2.1D +\" LANG:10027 \"Senzor vibracija V2.1D +\" " LANG:10027 "lt:2 LANG:10024 \"Senzor vibracija V2.1D +\" LANG:10027 \"Senzor vibracija V2.1D +\" " 
OA-SOS-D1.A1.value.AI1	""	lt:2 LANG:10024 "lt:2 LANG:10024 \"Senzor CO-D1\" LANG:10027 \"Senzor CO-D1\" " LANG:10027 "lt:2 LANG:10024 \"Senzor CO-D1\" LANG:10027 \"Senzor CO-D1\" " 
OA-SOS-D1.A1.value.AI2	""	lt:2 LANG:10024 "lt:2 LANG:10024 \"Senzor VID-D1\" LANG:10027 \"Senzor VID-D1\" " LANG:10027 "lt:2 LANG:10024 \"Senzor VID-D1\" LANG:10027 \"Senzor VID-D1\" " 
OA-SOS-D1.A1.value.AI3	""	lt:2 LANG:10024 "lt:2 LANG:10024 \"Senzor VAZ-D1\" LANG:10027 \"Senzor VAZ-D1\" " LANG:10027 "lt:2 LANG:10024 \"Senzor VAZ-D1\" LANG:10027 \"Senzor VAZ-D1\" " 
OA-SOS-D1.A1.value.AI4	""	lt:2 LANG:10024 "lt:2 LANG:10024 \"Rezerva\" LANG:10027 \"Rezerva\" " LANG:10027 "lt:2 LANG:10024 \"Rezerva\" LANG:10027 \"Rezerva\" " 
OA-SOS-D1.A1.value.AI5	""	lt:2 LANG:10024 "lt:2 LANG:10024 \"Rezerva\" LANG:10027 \"Rezerva\" " LANG:10027 "lt:2 LANG:10024 \"Rezerva\" LANG:10027 \"Rezerva\" " 
OA-SOS-D1.A1.value.AI6	""	lt:2 LANG:10024 "lt:2 LANG:10024 \"Rezerva\" LANG:10027 \"Rezerva\" " LANG:10027 "lt:2 LANG:10024 \"Rezerva\" LANG:10027 \"Rezerva\" " 
OA-SOS-D1.A1.value.AI7	""	lt:2 LANG:10024 "lt:2 LANG:10024 \"Rezerva\" LANG:10027 \"Rezerva\" " LANG:10027 "lt:2 LANG:10024 \"Rezerva\" LANG:10027 \"Rezerva\" " 
OA-SOS-D1.A3.state.bit.b0	""	lt:2 LANG:10024 "lt:2 LANG:10024 \"Status-oznaka puta evakuacije E2.2D\" LANG:10027 \"Status-oznaka puta evakuacije E2.2D\" " LANG:10027 "lt:2 LANG:10024 \"Status-oznaka puta evakuacije E2.2D\" LANG:10027 \"Status-oznaka puta evakuacije E2.2D\" " 
OA-SOS-D1.A3.state.bit.b1	""	lt:2 LANG:10024 "lt:2 LANG:10024 \"Status-oznaka puta evakuacije E3.1D\" LANG:10027 \"Status-oznaka puta evakuacije E3.1D\" " LANG:10027 "lt:2 LANG:10024 \"Status-oznaka puta evakuacije E3.1D\" LANG:10027 \"Status-oznaka puta evakuacije E3.1D\" " 
OA-SOS-D1.A3.state.bit.b2	""	lt:2 LANG:10024 "lt:2 LANG:10024 \"Status-oznaka puta evakuacije E3.2D\" LANG:10027 \"Status-oznaka puta evakuacije E3.2D\" " LANG:10027 "lt:2 LANG:10024 \"Status-oznaka puta evakuacije E3.2D\" LANG:10027 \"Status-oznaka puta evakuacije E3.2D\" " 
OA-SOS-D1.A3.state.bit.b3	""	lt:2 LANG:10024 "lt:2 LANG:10024 \"Status-oznaka puta evakuacije E4.1D\" LANG:10027 \"Status-oznaka puta evakuacije E4.1D\" " LANG:10027 "lt:2 LANG:10024 \"Status-oznaka puta evakuacije E4.1D\" LANG:10027 \"Status-oznaka puta evakuacije E4.1D\" " 
OA-SOS-D1.A3.state.bit.b4	""	lt:2 LANG:10024 "lt:2 LANG:10024 \"Status-oznaka puta evakuacije E4.2D\" LANG:10027 \"Status-oznaka puta evakuacije E4.2D\" " LANG:10027 "lt:2 LANG:10024 \"Status-oznaka puta evakuacije E4.2D\" LANG:10027 \"Status-oznaka puta evakuacije E4.2D\" " 
